country,id,monetary,units,date,New_id,Last_Purchase_date
IN,1845930,970.62,1,3/16/2020,IN1845930,10/5/2020
IN,1848042,12213.54,10,3/9/2020,IN1848042,3/9/2020
IN,1848624,367.2,1,3/9/2020,IN1848624,11/23/2020
IN,1848624,367.2,1,3/16/2020,IN1848624,11/23/2020
IN,1848624,1577.04,1,3/9/2020,IN1848624,11/23/2020
IN,1848624,-13748.1,-22,3/9/2020,IN1848624,11/23/2020
IN,1848624,1213.02,1,3/16/2020,IN1848624,11/23/2020
IN,1849704,970.62,1,3/16/2020,IN1849704,11/16/2020
IN,1849704,1961.22,2,3/23/2020,IN1849704,11/16/2020
IN,1849704,980.64,1,3/30/2020,IN1849704,11/16/2020
IN,1849704,980.64,1,4/6/2020,IN1849704,11/16/2020
IN,1850448,582.96,1,3/30/2020,IN1850448,10/19/2020
IN,1851594,62942.46,110,3/9/2020,IN1851594,11/16/2020
IN,1851594,34332.24,60,3/16/2020,IN1851594,11/16/2020
IN,1851594,1221.36,1,3/23/2020,IN1851594,11/16/2020
IN,1852116,1221.36,1,3/30/2020,IN1852116,9/14/2020
IN,1853484,4877.52,5,3/9/2020,IN1853484,3/16/2020
IN,1853484,4877.52,5,3/16/2020,IN1853484,3/16/2020
IN,1853484,6106.74,5,3/9/2020,IN1853484,3/16/2020
IN,1856742,1938.72,1,3/9/2020,IN1856742,8/31/2020
IN,1856742,1938.72,1,3/16/2020,IN1856742,8/31/2020
IN,1856742,1587.96,1,4/6/2020,IN1856742,8/31/2020
IN,1857600,4877.52,5,3/16/2020,IN1857600,3/16/2020
IN,1861062,27796.92,23,3/16/2020,IN1861062,10/12/2020
IN,1861062,10877.04,9,3/30/2020,IN1861062,10/12/2020
IN,1861062,9668.52,8,4/6/2020,IN1861062,10/12/2020
IN,1863330,3664.08,3,3/9/2020,IN1863330,9/21/2020
IN,1864008,582.96,1,3/23/2020,IN1864008,11/16/2020
IN,1864008,1221.36,1,3/23/2020,IN1864008,11/16/2020
IN,1867170,368.04,1,3/23/2020,IN1867170,11/23/2020
IN,1867170,368.04,1,4/6/2020,IN1867170,11/23/2020
IN,1867170,580.26,1,3/9/2020,IN1867170,11/23/2020
IN,1869864,4885.68,4,3/30/2020,IN1869864,3/30/2020
IN,1873176,5816.1,3,3/9/2020,IN1873176,7/27/2020
IN,1873176,1221.36,1,3/23/2020,IN1873176,7/27/2020
IN,1873602,975.48,1,3/23/2020,IN1873602,11/16/2020
IN,1873602,1971.36,2,3/30/2020,IN1873602,11/16/2020
IN,1873602,985.68,1,4/6/2020,IN1873602,11/16/2020
IN,1873602,2442.72,2,3/23/2020,IN1873602,11/16/2020
